                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.78431,                 9.1008,                0.38069,                0.58687,                0.93285,                0.90765,                0.70293,                0.82567,                 0.5404,                      0,                      0,                      0,                      0,                 1.2691,                 9.5624,                0.31455,                 1.1167,                 1.2874,              0.0007724,              0.0007724,              0.0007724
                     34,                0.87885,                 9.1637,                0.33022,                0.69907,                0.98232,                0.90847,                0.70941,                0.82063,                0.54815,                      0,                      0,                      0,                      0,                 1.2404,                 9.5446,                0.30138,                 1.1105,                 1.2576,              0.0007328,              0.0007328,              0.0007328
                     35,                0.77173,                 9.2195,                 0.3366,                0.60815,                0.95019,                0.77257,                0.85714,                 0.8427,                0.58859,                      0,                      0,                      0,                      0,                 1.2041,                 9.5099,                0.28557,                 1.0819,                 1.2299,              0.0006932,              0.0006932,              0.0006932
                     36,                0.73281,                 9.3556,                0.36482,                0.60605,                0.94047,                0.79541,                0.83422,                0.84318,                0.58612,                      0,                      0,                      0,                      0,                 1.2103,                 9.4722,                0.28102,                 1.0693,                 1.2277,              0.0006536,              0.0006536,              0.0006536
                     37,                0.77208,                 8.7913,                0.37032,                 0.5979,                0.90545,                0.79159,                0.81509,                0.84407,                0.58545,                      0,                      0,                      0,                      0,                 1.1233,                   9.44,                0.28487,                 1.0054,                 1.1854,               0.000614,               0.000614,               0.000614
                     38,                  0.749,                 8.8611,                0.34837,                0.59834,                0.96687,                0.82395,                0.78571,                0.84229,                0.58158,                      0,                      0,                      0,                      0,                 1.1002,                 9.4073,                0.29716,                0.98834,                 1.1603,              0.0005744,              0.0005744,              0.0005744
                     39,                0.63792,                 9.0865,                0.36072,                0.54441,                0.88576,                0.89371,                0.78571,                0.86334,                0.57423,                      0,                      0,                      0,                      0,                 1.1201,                  9.407,                0.29813,                0.99706,                 1.1673,              0.0005348,              0.0005348,              0.0005348
                     40,                 0.7902,                 8.9569,                0.43299,                0.61761,                0.94616,                 0.8981,                0.85714,                0.87082,                0.58027,                      0,                      0,                      0,                      0,                  1.101,                 9.4215,                0.28887,                 1.0091,                 1.1696,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.6377,                 8.7895,                0.22341,                0.55429,                0.88074,                0.91293,                0.85714,                0.86933,                 0.5936,                      0,                      0,                      0,                      0,                 1.0632,                 9.3718,                 0.2859,                 1.0173,                  1.166,              0.0004556,              0.0004556,              0.0004556
                     42,                0.72672,                 8.8315,                0.22038,                0.52315,                0.87098,                0.90974,                0.85714,                0.86108,                0.57311,                      0,                      0,                      0,                      0,                  1.076,                 9.3663,                0.28393,                 1.0004,                 1.1608,               0.000416,               0.000416,               0.000416
                     43,                0.60967,                 8.1936,                0.17276,                0.47851,                  0.961,                0.89885,                0.85714,                0.86739,                0.56976,                      0,                      0,                      0,                      0,                 1.0995,                 9.3568,                0.28888,                 1.0154,                 1.1604,              0.0003764,              0.0003764,              0.0003764
                     44,                 0.5816,                 8.7879,                0.19519,                0.46811,                0.90976,                0.90698,                0.85714,                0.86859,                0.60153,                      0,                      0,                      0,                      0,                 1.1137,                 9.3169,                0.28149,                 1.0463,                 1.1747,              0.0003368,              0.0003368,              0.0003368
                     45,                0.57847,                 8.3848,                0.20666,                 0.4576,                0.87011,                0.89894,                0.85714,                0.87269,                0.59697,                      0,                      0,                      0,                      0,                  1.083,                 9.2342,                0.27418,                 1.0251,                 1.1614,              0.0002972,              0.0002972,              0.0002972
                     46,                0.59056,                 8.3206,                0.18378,                0.48042,                 0.9026,                0.88942,                0.85714,                0.87045,                0.60992,                      0,                      0,                      0,                      0,                 1.0791,                 9.1961,                0.26968,                 1.0454,                 1.1746,              0.0002576,              0.0002576,              0.0002576
                     47,                0.56958,                 8.2616,                0.16564,                0.47799,                0.95593,                0.89824,                0.85714,                 0.8683,                0.60654,                      0,                      0,                      0,                      0,                 1.0841,                 9.1937,                0.26976,                 1.0512,                  1.183,               0.000218,               0.000218,               0.000218
                     48,                0.50718,                 8.1928,                 0.1547,                0.42402,                0.84698,                0.91167,                0.85714,                0.85886,                0.60681,                      0,                      0,                      0,                      0,                 1.0814,                 9.2482,                0.27103,                 1.0489,                 1.1886,              0.0001784,              0.0001784,              0.0001784
                     49,                0.52335,                 8.1933,                0.17735,                0.44964,                 0.8745,                0.83404,                0.78571,                0.83976,                 0.6101,                      0,                      0,                      0,                      0,                 1.0789,                 9.2686,                0.26971,                  1.055,                 1.1876,              0.0001388,              0.0001388,              0.0001388
                     50,                0.53259,                 8.1512,                0.18464,                0.43163,                0.87045,                0.83104,                0.78571,                0.83397,                0.60817,                      0,                      0,                      0,                      0,                 1.0626,                 9.2485,                0.26897,                 1.0531,                 1.1866,               9.92e-05,               9.92e-05,               9.92e-05
